epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.626,1.81508,2.54364,1.36601,0.54437,0.44067,0.4655,0.23856,1.66336,1.57403,1.28107,0.000474118,0.000474118,0.000474118
2,243.525,1.66458,1.59246,1.28365,0.66022,0.51744,0.56429,0.30538,1.51117,1.33222,1.2266,0.000762262,0.000762262,0.000762262
3,364.165,1.57446,1.42459,1.24332,0.69658,0.53811,0.59961,0.32876,1.45864,1.26427,1.20827,0.000861778,0.000861778,0.000861778
4,482.64,1.54626,1.37819,1.22381,0.71062,0.54559,0.61492,0.34518,1.39365,1.21598,1.18101,0.000580174,0.000580174,0.000580174
5,601.198,1.45766,1.28911,1.18454,0.74546,0.58036,0.66182,0.38269,1.33359,1.12709,1.14273,0.000297232,0.000297232,0.000297232
